NUM,GAL_L,GAL_B,P,SP,Q,SQ,U,SU,UF,DeltaLatitudeFINAL,DeltaLongitudeFINAL,AngleDEG,AngleRAD
7676988,36.58846670224783,0.4707910215288327,6.557,0.565,4.8839999999999995,0.631,4.412,0.473,1,20.576529760149697,60.00100009680507,21.046665024481122,0.36733360124152853
7677588,36.547659693763144,0.4488449490094116,4.2589999999999995,0.561,2.742,0.591,3.307,0.539,1,24.366472952978373,57.55748464639354,25.168082658430713,0.4392659088037033
7677637,36.54561695361639,0.4477176886318485,1.96,1.641,-1.955,1.6130000000000002,1.646,1.679,1,53.82407239857958,21.788721808489893,69.9522539242841,1.2208971501698815
7678834,36.57749915732249,0.4620489883812182,6.202000000000001,1.033,2.861,1.224,5.599,0.977,1,29.90868816478934,54.59475062958972,31.466844883014932,0.5492000484229405
7679394,36.52434030401946,0.4339418626374431,2.727607,1.110593557357788,2.5432327440964886,1.092071651889386,1.485,1.1632196020896222,1,14.96479253874875,60.956720154867305,15.140381631174666,0.26424950947246767
7680033,36.53965810171165,0.4407318617903157,1.6280000000000001,0.632,1.054,0.5489999999999999,1.392,0.675,1,25.505981115618653,56.726247968104445,26.433790286893153,0.461356674287982
7681498,36.604709443186046,0.4715724975318389,7.97,1.589,5.542999999999999,1.859,5.944,1.311,1,22.8463306282436,58.98132063783071,23.499664029042375,0.4101465104192658
7682762,36.523497754821356,0.4276412046475268,1.851602,1.2649799585342407,-0.2370637833343233,1.2811731038963905,2.229889332647705,1.2647957058454444,1,42.60194868859433,42.1045906140317,48.034214867467895,0.8383552030477265
7683281,36.63753299703242,0.4852737957734072,4.332,0.6940000000000001,3.62,0.6779999999999999,2.478,0.727,1,16.939396491778833,61.878523509721056,17.196412866949217,0.30013402406058143
7683868,36.56603463513176,0.44761224117700094,4.99,0.816,2.928,0.865,4.123,0.79,1,26.28715119195747,56.47320979025067,27.3095291961774,0.4766412016428161
7684196,36.50561020543286,0.4159789558699452,1.652,0.573,-0.52,0.551,1.67,0.575,1,46.145307656347924,37.12824553480978,53.64770002642619,0.936329001583386
7684298,36.63794934512366,0.4836577833943378,4.4910000000000005,1.06,2.762,0.79,3.697,1.1840000000000002,1,25.67119145730843,57.859494960301895,26.61843844558352,0.4645793926148739
7684433,36.628001551106735,0.4783553548210742,3.75,0.594,2.938,0.617,2.405,0.5589999999999999,1,19.268566131623114,60.78106408843295,19.651604874083795,0.3429852083537279
7684689,36.59510776320575,0.4610899152508764,0.799,0.33,0.5479999999999999,0.35700000000000004,0.6679999999999999,0.31,1,24.502047388274747,57.8319305174995,25.317970349146723,0.44188194251490864
7684809,36.653723929698906,0.4909444535229189,3.778,1.083,3.654,1.101,1.4480000000000002,0.961,1,10.744672823954875,63.81682264860435,10.808667995503335,0.18864684427646886
7685377,36.65682983273348,0.4915064343748423,2.199553,1.6246720552444458,2.039647001056481,1.7541874346551252,-1.8213824994366847,1.4459524647667736,1,-20.4230012974095,60.72018168247942,-20.882252841052146,-0.36446406731030007
7685388,36.506373042644,0.4143316792619394,3.511,1.57,1.493,1.5130000000000001,3.545,1.58,1,31.690876408681095,52.145873481965424,33.58064406165126,0.5860928038160962
7685531,36.62657897797524,0.4757121063928354,2.64,1.746,2.051,1.528,2.41,1.8880000000000001,1,24.03327690898499,58.507935614737434,24.800487870350743,0.43285016943853705
7685569,36.628191079826316,0.4764738038025464,1.992,0.6990000000000001,1.672,0.713,1.288,0.6759999999999999,1,18.468400522170292,61.03599481851587,18.804158195023582,0.3281944735690355
